Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,17/11/2024 15:17:31,Service Control Manager,7036,Ninguno,"El servicio Registro remoto entró en estado ""detenido""."
Información,17/11/2024 15:14:41,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""detenido""."
Información,17/11/2024 15:14:41,Service Control Manager,7036,Ninguno,"El servicio Servicio de licencia de cliente (ClipSVC) entró en estado ""detenido""."
Información,17/11/2024 15:12:39,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""detenido""."
Información,17/11/2024 15:10:44,Service Control Manager,7036,Ninguno,"El servicio Servicio de Windows Update Medic entró en estado ""detenido""."
Información,17/11/2024 15:10:41,Service Control Manager,7036,Ninguno,"El servicio Servicio de repositorio de estado entró en estado ""detenido""."
Información,17/11/2024 15:10:10,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 15:09:44,Service Control Manager,7036,Ninguno,"El servicio Servicio Orquestador de actualizaciones entró en estado ""en ejecución""."
Información,17/11/2024 15:09:44,Service Control Manager,7036,Ninguno,"El servicio Servicio de Windows Update Medic entró en estado ""en ejecución""."
Información,17/11/2024 15:09:43,Service Control Manager,7036,Ninguno,"El servicio Servicio de registro de acceso de usuarios entró en estado ""en ejecución""."
Información,17/11/2024 15:09:40,Service Control Manager,7036,Ninguno,"El servicio Servicio de licencia de cliente (ClipSVC) entró en estado ""en ejecución""."
Información,17/11/2024 15:09:40,Service Control Manager,7036,Ninguno,"El servicio Servicio de implementación de AppX (AppXSVC) entró en estado ""en ejecución""."
Información,17/11/2024 15:09:40,Service Control Manager,7036,Ninguno,"El servicio Servicio de almacenamiento entró en estado ""en ejecución""."
Información,17/11/2024 15:09:40,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""en ejecución""."
Información,17/11/2024 15:09:39,Service Control Manager,7036,Ninguno,"El servicio Servicio Asistente para la compatibilidad de programas entró en estado ""en ejecución""."
Información,17/11/2024 15:09:39,Service Control Manager,7036,Ninguno,"El servicio Coordinador de transacciones distribuidas entró en estado ""en ejecución""."
Información,17/11/2024 15:09:39,Service Control Manager,7036,Ninguno,"El servicio Servicio de configuración de red entró en estado ""en ejecución""."
Información,17/11/2024 15:09:38,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Update Service (edgeupdate) entró en estado ""detenido""."
Información,17/11/2024 15:09:38,Service Control Manager,7036,Ninguno,"El servicio Microsoft Edge Update Service (edgeupdate) entró en estado ""en ejecución""."
Información,17/11/2024 15:09:36,Service Control Manager,7036,Ninguno,"El servicio Servicio de directivas de diagnóstico entró en estado ""en ejecución""."
Información,17/11/2024 15:09:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de plataforma de dispositivos conectados entró en estado ""en ejecución""."
Información,17/11/2024 15:09:35,Service Control Manager,7036,Ninguno,"El servicio Aislamiento de claves CNG entró en estado ""en ejecución""."
Información,17/11/2024 15:09:35,Service Control Manager,7036,Ninguno,"El servicio Servicio de transferencia inteligente en segundo plano (BITS) entró en estado ""en ejecución""."
Información,17/11/2024 15:09:26,Service Control Manager,7036,Ninguno,"El servicio WPDBusEnum entró en estado ""detenido""."
Información,17/11/2024 15:08:51,Service Control Manager,7036,Ninguno,"El servicio DsmSvc entró en estado ""detenido""."
Información,17/11/2024 15:08:06,Service Control Manager,7036,Ninguno,"El servicio Protección de software entró en estado ""detenido""."
Información,17/11/2024 15:07:48,Microsoft-Windows-Kernel-General,1,(5),"La hora del sistema se cambió a ‎2024‎-‎11‎-‎17T14:07:48.245931100Z de ‎2024‎-‎11‎-‎17T14:07:48.201593900Z.

Motivo del cambio: An application or system component changed the time.
Proceso: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 2504)."
Información,17/11/2024 15:07:48,Microsoft-Windows-Kernel-General,24,(11),La información de zona horaria se actualizó con el motivo de salida 0. La diferencia de zona horaria actual es -60.
Información,17/11/2024 15:07:48,Microsoft-Windows-Time-Service,35,Ninguno,"El servicio de hora está sincronizando la hora del sistema con el origen de la hora time.windows.com,0x8 (ntp.m|0x8|0.0.0.0:123->51.145.123.29:123) con el id. de referencia 494637363. El número de capa local actual es 4."
Información,17/11/2024 15:07:48,Microsoft-Windows-Kernel-General,1,(5),"La hora del sistema se cambió a ‎2024‎-‎11‎-‎17T14:07:48.180838500Z de ‎2024‎-‎11‎-‎17T14:07:45.576386800Z.

Motivo del cambio: An application or system component changed the time.
Proceso: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 2504)."
Información,17/11/2024 15:07:48,Microsoft-Windows-Kernel-General,24,(11),La información de zona horaria se actualizó con el motivo de salida 0. La diferencia de zona horaria actual es -60.
Información,17/11/2024 15:07:48,Microsoft-Windows-DHCP-Server,1043,Ninguno,Se ha determinado que el servicio DHCP/BINL de la máquina local está autorizado para iniciarse.  Ahora está sirviendo a clientes.
Información,17/11/2024 15:07:39,Service Control Manager,7036,Ninguno,"El servicio DHCPServer entró en estado ""en ejecución""."
Advertencia,17/11/2024 15:07:39,Microsoft-Windows-DHCP-Server,10020,Ninguno,"Este equipo tiene al menos una dirección IPv6 asignada dinámicamente. Para conseguir un funcionamiento fiable del servidor DHCPv6, es recomendable usar solo direcciones IPv6 estáticas."
Información,17/11/2024 15:07:36,Service Control Manager,7036,Ninguno,"El servicio Servicio de inspección de red de Antivirus de Microsoft Defender entró en estado ""en ejecución""."
Información,17/11/2024 15:07:36,SNMP,1001,Ninguno,El servicio SNMP se ha iniciado correctamente.
Error,17/11/2024 15:07:35,Microsoft-Windows-DHCP-Server,1036,Ninguno,El servidor DHCP no pudo crear o buscar el grupo local de Administradores de DHCP en este equipo. El código de error está en los datos.
